x,y,z,intensity
133,7,86,51.0
133,7,87,55.0
133,7,88,46.0
133,7,89,48.0
133,7,90,60.0
133,7,91,66.0
133,7,92,75.0
133,8,59,71.0
133,8,60,54.0
133,8,61,42.0
133,8,62,41.0
133,8,63,34.0
133,8,64,32.0
133,8,65,32.0
133,8,66,32.0
133,8,67,39.0
133,8,68,40.0
133,8,69,37.0
133,8,70,41.0
133,8,71,38.0
133,8,72,40.0
133,8,73,44.0
133,8,74,35.0
133,8,75,45.0
133,8,76,48.0
133,8,77,49.0
133,8,78,49.0
133,8,79,47.0
133,8,80,54.0
133,8,81,69.0
133,8,82,70.0
133,8,83,72.0
133,8,84,89.0
133,8,85,124.0
133,9,59,44.0
133,9,60,29.0
133,9,61,29.0
133,9,62,41.0
133,9,63,43.0
133,9,64,46.0
133,9,65,44.0
133,9,66,49.0
133,9,67,49.0
133,9,68,48.0
133,9,69,58.0
133,9,70,51.0
133,9,71,53.0
133,9,72,61.0
134,5,96,115.0
134,5,97,106.0
134,5,98,99.0
134,5,99,109.0
134,5,100,118.0
134,5,101,132.0
134,6,81,127.0
134,6,82,120.0
134,6,83,117.0
134,6,84,90.0
134,6,85,83.0
134,6,86,103.0
134,6,87,92.0
134,6,88,69.0
134,6,89,77.0
134,6,90,71.0
134,6,91,64.0
134,6,92,50.0
134,6,93,59.0
134,6,94,60.0
134,6,95,61.0
134,6,96,74.0
134,6,97,70.0
134,6,98,78.0
134,7,64,105.0
134,7,65,110.0
134,7,66,103.0
134,7,67,96.0
134,7,68,94.0
134,7,69,91.0
134,7,70,83.0
134,7,71,78.0
134,7,72,77.0
134,7,73,72.0
134,7,74,68.0
134,7,75,62.0
134,7,76,62.0
134,7,77,45.0
134,7,78,40.0
134,7,79,50.0
134,7,80,41.0
134,7,81,49.0
134,7,82,48.0
134,7,83,48.0
134,7,84,53.0
134,7,85,52.0
134,7,86,47.0
134,7,87,48.0
134,7,88,55.0
134,7,89,52.0
134,7,90,61.0
134,7,91,77.0
134,7,92,85.0
134,8,59,52.0
134,8,60,43.0
134,8,61,34.0
134,8,62,31.0
134,8,63,32.0
134,8,64,30.0
